noOfCharacters,noOfWords,noOfUniqueWords,sentCount,noOfCommas,noOfSemicolons,noOfQuestions,noOfExclamation,noOfSpellErrors,meanWorldLength,avgWordLength,avgSentenceLength,stdDeviationSentence,noOfNounCount,noOfVerbCount,noOfAdjCount,noOfAdvCount,keywordRelevance,score
2171,269,165,32,12,12,0,0,10,0,0.009950248756218905,12.5625,6.072157256692221,92,50,31,11,8,8.0
1569,205,132,19,10,10,0,0,15,0,0.006734006734006734,15.631578947368421,14.829595325123513,68,35,28,18,8,7.0
969,130,99,10,4,4,0,0,13,0,0.020100502512562814,19.9,11.903360869939211,43,22,20,2,4,6.0
1705,209,147,17,6,6,0,0,12,0,0.012903225806451613,18.235294117647058,10.816813773362858,74,45,21,13,11,8.0
1715,216,148,13,3,3,0,0,10,0,0.012121212121212121,25.384615384615383,16.60647909488926,64,46,37,22,14,9.0
2450,298,137,21,9,9,0,0,11,0,0.0022271714922048997,21.38095238095238,6.358168278276008,91,70,34,25,18,9.0
1330,166,135,17,13,13,0,0,16,0,0.0163265306122449,14.411764705882353,7.538597338165079,76,32,16,8,6,8.0
1241,152,118,12,4,4,0,0,7,0,0.017241379310344827,19.333333333333332,13.331249837214148,49,34,15,14,8,9.0
2258,277,186,29,22,22,2,4,27,0,0.009523809523809525,14.482758620689655,6.162291835500324,117,62,18,11,4,9.0
3108,412,230,34,17,17,1,0,18,0,0.006349206349206349,18.529411764705884,8.69494543539909,129,87,41,23,15,11.0
1748,230,147,15,5,5,0,0,10,0,0.011396011396011397,23.4,13.405471519743969,78,52,35,12,6,7.0
870,106,74,7,0,0,0,0,5,0,0.005952380952380952,24.0,10.169983846032963,36,27,10,4,3,7.0
3505,431,285,41,23,23,3,3,25,0,0.006191950464396285,15.75609756097561,8.731162266678314,153,84,46,27,20,11.0
2157,265,196,24,31,31,1,4,30,0,0.009900990099009901,16.833333333333332,10.241527663824812,91,54,33,20,7,8.0
2451,325,188,39,8,8,0,2,14,0,0.008316008316008316,12.333333333333334,5.902339098832499,99,63,43,23,14,9.0
1749,222,131,20,15,15,0,0,20,0,0.028846153846153848,15.6,6.6588287258345975,86,34,36,7,9,9.0
1676,203,149,21,15,15,4,0,16,0,0.0033333333333333335,14.285714285714286,7.528630161513019,74,39,31,15,13,10.0
2921,368,234,27,23,23,0,0,23,0,0.0071174377224199285,20.814814814814813,7.363760296645132,126,80,40,17,12,9.0
2181,273,165,26,5,5,2,0,12,0,0.00980392156862745,15.692307692307692,9.481841880340918,99,52,29,19,13,9.0
1166,156,101,14,1,1,2,0,11,0,0.017391304347826087,16.428571428571427,9.108193216740046,45,31,23,17,1,6.0
2830,357,243,28,15,15,0,0,23,0,0.0017667844522968198,20.214285714285715,11.446637506450601,120,67,28,28,6,10.0
1712,217,160,23,13,13,0,0,18,0,0.012195121951219513,14.26086956521739,7.605589428059087,74,54,19,17,7,8.0
1469,182,137,15,9,9,0,0,9,0,0.014388489208633094,18.533333333333335,10.781877799756815,57,40,23,11,11,8.0
2182,280,145,16,4,4,0,0,7,0,0.009501187648456057,26.3125,12.362841249081862,98,54,29,8,5,8.0
2905,335,219,26,20,20,0,0,16,0,0.007633587786259542,20.153846153846153,8.76045444769719,113,60,47,30,5,11.0
2354,290,212,25,28,28,1,1,31,0,0.004672897196261682,17.12,10.218884479237449,104,63,26,22,8,9.0
1665,216,140,30,1,1,0,2,8,0,0.012861736334405145,10.366666666666667,4.976500332116491,68,58,24,11,4,7.0
2409,302,185,30,26,26,5,0,32,0,0.00909090909090909,14.666666666666666,6.9538158988828265,112,67,31,16,9,9.0
1428,176,118,12,3,3,1,0,2,0,0.006968641114982578,23.916666666666668,11.53587399761669,57,37,19,13,6,8.0
2887,354,238,30,13,13,1,0,21,0,0.007827788649706457,17.033333333333335,5.1670967562925405,138,73,40,16,10,10.0
1920,229,152,18,6,6,1,1,13,0,0.01098901098901099,20.22222222222222,9.941805981452239,84,47,30,12,8,8.0
2055,261,208,33,15,15,2,1,17,0,0.010309278350515464,11.757575757575758,7.519793287899984,87,52,35,13,6,11.0
2203,246,175,23,37,37,3,3,28,0,0.010471204188481676,16.608695652173914,6.0414447626719125,88,52,30,14,3,11.0
2498,286,215,20,21,21,1,5,20,0,0.004608294930875576,21.7,13.368245958239996,109,65,29,19,19,10.0
1469,174,128,17,7,7,2,1,9,0,0.014925373134328358,15.764705882352942,5.693437003558993,55,44,17,8,9,8.0
2087,264,183,21,17,17,1,5,26,0,0.01020408163265306,18.666666666666668,11.072631783057478,89,57,19,20,10,9.0
2012,267,155,26,12,12,0,0,19,0,0.01020408163265306,15.076923076923077,8.579595996060728,80,74,31,12,15,8.0
1645,213,148,18,13,13,0,0,13,0,0.012461059190031152,17.833333333333332,5.7081812631812365,63,50,17,17,1,8.0
2748,350,247,37,37,37,6,8,46,0,0.0078125,13.837837837837839,8.1456787201277,132,68,51,22,13,10.0
1466,181,126,10,1,1,0,0,2,0,0.014705882352941176,27.2,14.406942770761601,63,43,27,11,3,8.0
1923,248,173,26,9,9,2,4,16,0,0.01084010840108401,14.192307692307692,6.621754536079896,82,50,28,19,6,9.0
2267,272,182,27,17,17,1,0,16,0,0.010282776349614395,14.407407407407407,5.7943731278828015,100,52,47,22,21,11.0
1403,174,118,17,3,3,0,0,9,0,0.01532567049808429,15.352941176470589,7.299808027053445,55,47,16,16,9,8.0
2198,280,199,22,21,21,1,2,23,0,0.00980392156862745,18.545454545454547,8.294177983968758,94,63,35,14,9,9.0
1734,211,146,22,12,12,0,1,11,0,0.013201320132013201,13.772727272727273,5.359204640631415,68,44,29,14,11,8.0
2501,296,204,34,14,14,3,1,15,0,0.0091324200913242,12.882352941176471,7.283198658485291,116,58,39,12,14,10.0
2028,265,174,31,8,8,0,2,13,0,0.010498687664041995,12.290322580645162,6.580487031623199,84,50,40,22,11,10.0
1160,148,89,16,2,2,1,1,4,0,0.018604651162790697,13.4375,5.384802108713003,52,25,16,8,13,7.0
1710,198,142,19,7,7,1,3,13,0,0.013114754098360656,16.05263157894737,7.185318981385998,74,38,23,9,8,8.0
1097,146,107,11,2,2,0,0,5,0,0.017937219730941704,20.272727272727273,9.991732119297518,46,41,8,8,8,6.0
1593,201,122,15,8,8,0,0,15,0,0.013114754098360656,20.333333333333332,12.825322174857398,75,39,27,9,12,8.0
2817,364,263,26,21,21,0,2,22,0,0.0018552875695732839,20.73076923076923,15.406186799983193,102,76,41,32,10,11.0
319,46,40,3,2,2,0,0,3,0,0.06557377049180328,20.333333333333332,11.14550233153366,15,9,3,1,2,4.0
2821,353,234,30,17,17,1,3,35,0,0.007662835249042145,17.4,9.421960164070603,128,72,34,24,8,12.0
1865,232,149,26,8,8,0,0,20,0,0.011494252873563218,13.384615384615385,6.133620608999869,79,45,26,16,9,8.0
2186,261,183,21,18,18,2,1,15,0,0.010075566750629723,18.904761904761905,8.017271605161554,95,49,27,21,11,10.0
3086,361,266,29,27,27,1,0,24,0,0.007312614259597806,18.862068965517242,9.8496425208404,134,67,45,35,11,11.0
2473,288,217,31,27,27,3,3,37,0,0.009280742459396751,13.903225806451612,5.882477197683771,116,51,38,14,7,11.0
2848,352,249,34,18,18,0,1,28,0,0.0078125,15.058823529411764,8.432922794097612,138,70,40,16,12,11.0
1226,151,98,16,4,4,0,0,10,0,0.016736401673640166,14.9375,7.292708258939199,46,23,25,6,3,8.0
2308,291,180,24,4,4,0,0,20,0,0.008928571428571428,18.666666666666668,10.830768927253297,98,72,28,17,10,10.0
2005,242,162,25,20,20,0,0,19,0,0.011560693641618497,13.84,5.525794060585319,89,54,31,13,11,10.0
2544,319,172,23,4,4,0,0,14,0,0.008064516129032258,21.565217391304348,10.420823997114047,100,73,31,12,16,10.0
2656,323,208,28,25,25,0,0,44,0,0.008583690987124463,16.642857142857142,8.401591200116652,115,62,45,15,25,9.0
2041,253,129,26,6,6,0,0,11,0,0.010526315789473684,14.615384615384615,5.196721770478319,78,51,34,17,8,8.0
1748,214,121,21,12,12,1,0,9,0,0.005988023952095809,15.904761904761905,8.484746885159003,77,44,32,4,13,8.0
2483,315,235,37,22,22,4,0,25,0,0.008583690987124463,12.594594594594595,6.2404931347912065,106,65,35,14,13,8.0
1778,229,177,27,18,18,1,0,20,0,0.012269938650306749,12.074074074074074,7.1488197727080225,84,57,24,7,6,9.0
3257,390,250,41,27,27,2,1,33,0,0.007142857142857143,13.658536585365853,6.809640784543277,137,68,55,18,20,10.0
2392,308,215,28,26,26,0,4,33,0,0.00904977375565611,15.785714285714286,10.47226658116278,107,63,45,24,9,10.0
2663,331,192,25,3,3,3,0,24,0,0.008064516129032258,19.84,7.330375160931395,119,63,35,24,13,9.0
2391,300,185,22,26,26,1,0,22,0,0.019189765458422176,21.318181818181817,15.630350323638604,98,57,26,15,8,10.0
2439,304,194,31,16,16,3,0,23,0,0.008830022075055188,14.612903225806452,5.643594252549429,102,73,23,11,14,8.0
1893,230,176,26,10,10,3,2,14,0,0.011661807580174927,13.192307692307692,4.715108537532307,79,49,17,18,4,9.0
615,78,49,2,3,3,0,0,8,0,0.007874015748031496,63.5,11.5,22,22,6,2,1,6.0
2052,253,173,17,2,2,3,3,17,0,0.010471204188481676,22.470588235294116,11.319518006049258,78,50,31,20,13,9.0
1944,228,157,17,9,9,0,0,19,0,0.011661807580174927,20.176470588235293,12.040301413647745,81,38,28,20,6,10.0
1820,224,154,27,14,14,0,0,17,0,0.011494252873563218,12.88888888888889,4.039924213932854,83,50,21,8,9,9.0
1125,155,89,20,5,5,1,0,11,0,0.017857142857142856,11.2,4.044749683231337,46,40,22,2,8,7.0
1994,248,182,21,7,7,2,5,20,0,0.0027397260273972603,17.38095238095238,8.109231602822096,98,43,28,19,10,9.0
2405,283,200,22,26,26,0,0,22,0,0.021791767554479417,18.772727272727273,10.920921615212695,106,55,43,14,12,10.0
3059,357,232,29,42,42,0,0,36,0,0.00375234521575985,18.379310344827587,9.110107282397367,135,72,50,18,24,9.0
2834,340,209,33,12,12,0,0,27,0,0.0081799591002045,14.818181818181818,5.029937920302165,123,70,41,18,22,10.0
2121,273,151,21,3,3,1,0,27,0,0.010256410256410256,18.571428571428573,10.922111380443008,86,78,26,20,19,8.0
1988,238,175,27,25,25,2,1,20,0,0.02586206896551724,12.88888888888889,6.459751934999392,93,40,26,21,6,9.0
1694,221,163,11,10,10,0,0,15,0,0.012345679012345678,29.454545454545453,12.992050970872615,79,44,33,12,11,8.0
2850,356,249,29,19,19,0,3,27,0,0.007766990291262136,17.75862068965517,10.397795430842104,126,80,47,19,8,12.0
1687,204,143,15,8,8,1,1,14,0,0.012618296529968454,21.133333333333333,10.726084508751965,69,53,20,13,6,8.0
2146,287,173,27,2,2,1,3,6,0,0.009732360097323601,15.222222222222221,9.882020086381848,81,64,32,15,14,10.0
1823,227,145,19,14,14,0,0,20,0,0.0029940119760479044,17.57894736842105,7.393566118227274,85,53,21,10,17,8.0
2083,255,178,18,30,30,3,0,29,0,0.010025062656641603,22.166666666666668,11.09178875464989,88,59,30,32,17,9.0
3697,432,297,39,30,30,0,0,25,0,0.006329113924050633,16.205128205128204,8.357951801541857,161,85,64,28,17,10.0
1972,259,137,26,3,3,0,0,4,0,0.010025062656641603,15.346153846153847,7.4469524365149535,74,56,35,20,16,6.0
1818,235,166,30,1,1,0,0,14,0,0.011730205278592375,11.366666666666667,4.708030963742226,74,60,19,11,5,8.0
1747,229,125,18,5,5,0,0,11,0,0.011299435028248588,19.666666666666668,7.930251502246879,73,38,24,14,12,8.0
3332,391,238,35,18,18,3,0,22,0,0.006688963210702341,17.085714285714285,7.349913230086185,153,72,38,19,22,11.0
2560,315,241,35,32,32,1,5,24,0,0.008421052631578947,13.571428571428571,6.388765649999399,98,64,45,21,10,10.0
1477,183,145,20,4,4,0,0,15,0,0.025,14.0,10.862780491200215,66,36,15,6,5,8.0
1998,244,164,26,18,18,3,1,31,0,0.010810810810810811,14.23076923076923,6.629234161057382,82,50,29,17,7,9.0
3532,454,260,42,2,2,0,0,20,0,0.004392386530014641,16.261904761904763,7.084723753089909,146,77,40,36,15,10.0
1728,213,148,15,8,8,0,0,10,0,0.0121580547112462,21.933333333333334,17.559296366565743,66,46,20,17,4,9.0
2952,358,266,36,19,19,1,2,26,0,0.007633587786259542,14.555555555555555,4.15962367718553,112,78,45,21,10,11.0
1656,190,160,23,17,17,1,0,18,0,0.014492753623188406,12.0,4.2732738696715185,75,39,31,12,5,10.0
1066,139,86,7,2,2,0,0,7,0,0.019138755980861243,29.857142857142858,14.166646658649336,46,29,8,8,6,8.0
2719,345,221,23,17,17,2,0,23,0,0.00796812749003984,21.82608695652174,9.480653866246199,121,79,44,16,16,11.0
2003,241,176,28,16,16,1,1,22,0,0.025936599423631124,12.392857142857142,7.451458561508447,88,51,42,15,12,9.0
1492,181,124,15,10,10,1,0,13,0,0.010676156583629894,18.733333333333334,10.446477343530157,75,37,19,8,8,8.0
2515,304,199,27,19,19,1,0,27,0,0.008948545861297539,16.555555555555557,8.111872110419547,117,64,40,22,15,9.0
1970,246,165,27,9,9,1,2,17,0,0.0111731843575419,13.25925925925926,5.000685824020783,89,61,31,9,8,9.0
2172,282,207,17,18,18,0,0,43,0,0.009592326139088728,24.529411764705884,16.288276719085683,102,55,27,11,11,10.0
3548,432,286,30,41,41,4,0,46,0,0.006069802731411229,21.966666666666665,11.967966503221097,154,87,67,30,18,12.0
1295,177,119,12,2,2,0,0,4,0,0.01556420233463035,21.416666666666668,9.169317798445471,51,41,15,18,4,7.0
1569,200,137,14,4,4,1,0,13,0,0.012987012987012988,22.0,13.298764711699462,68,42,19,11,9,8.0
1344,173,133,15,3,3,0,0,14,0,0.01532567049808429,17.4,14.768434807611355,59,40,15,14,4,8.0
2023,260,146,27,8,8,1,0,14,0,0.01020408163265306,14.518518518518519,6.534072352592701,85,58,23,20,14,8.0
2016,258,166,33,5,5,0,0,23,0,0.011267605633802818,10.757575757575758,4.148970686738134,92,66,21,13,19,9.0
1227,136,83,11,6,6,0,1,6,0,0.017777777777777778,20.454545454545453,9.326049893259754,63,33,12,4,3,7.0
647,86,50,10,0,0,0,0,4,0,0.015625,12.8,6.079473661428265,30,22,7,3,14,5.0
1357,164,105,18,5,5,0,0,4,0,0.01680672268907563,13.222222222222221,6.285393610547089,58,28,15,7,10,8.0
1067,142,84,13,8,8,0,0,11,0,0.01834862385321101,16.76923076923077,8.486675947569417,45,33,9,11,5,6.0
1484,181,150,20,17,17,3,1,22,0,0.01486988847583643,13.45,6.367691889531089,70,34,20,13,8,8.0
1407,166,125,16,11,11,0,1,14,0,0.015873015873015872,15.75,6.4468984791138135,52,42,25,13,1,8.0
1075,124,87,8,3,3,0,0,10,0,0.02040816326530612,24.5,9.151502608861563,38,31,15,4,10,7.0
47,6,6,1,1,1,0,0,1,0,0.625,8.0,0.0,3,1,1,0,0,2.0
898,114,92,11,6,6,1,0,10,0,0.011494252873563218,15.818181818181818,7.673071944003342,40,22,16,7,3,6.0
2939,364,222,42,8,8,0,0,19,0,0.016791044776119403,12.761904761904763,7.689849598533938,127,72,41,35,10,10.0
2413,303,209,23,38,38,1,2,40,0,0.02,19.565217391304348,11.552624723248796,97,62,50,18,7,10.0
1413,177,134,10,10,10,0,1,14,0,0.0038022813688212928,26.3,16.769317219254933,57,39,26,9,6,8.0
3440,391,256,32,49,49,0,8,44,0,0.0051635111876075735,18.15625,7.036109431887767,134,77,58,28,20,11.0
2447,298,220,27,16,16,2,2,27,0,0.006896551724137931,16.11111111111111,8.689428798229844,120,65,40,10,23,9.0
1844,231,167,22,15,15,0,0,17,0,0.025280898876404494,16.181818181818183,9.207883794170197,68,58,24,22,5,8.0
1875,225,155,16,14,14,0,0,17,0,0.0058309037900874635,21.4375,12.82072906468271,83,46,26,16,10,8.0
1755,208,139,21,16,16,0,0,13,0,0.012861736334405145,14.80952380952381,5.737255421649156,89,43,29,10,12,9.0
1301,160,124,15,14,14,2,1,20,0,0.008438818565400843,15.8,11.160645142642965,55,38,22,11,11,8.0
3303,392,275,31,31,31,2,4,29,0,0.015228426395939087,19.06451612903226,9.554379113774996,133,84,52,19,12,10.0
1722,216,146,24,23,23,4,0,19,0,0.015384615384615385,13.541666666666666,6.291390722425545,75,45,22,16,22,8.0
2434,293,180,32,17,17,3,4,29,0,0.009174311926605505,13.625,5.412658773652741,108,66,44,23,14,10.0
1514,179,139,19,15,15,0,1,15,0,0.007518796992481203,14.0,8.423026084552548,55,37,24,6,8,8.0
2113,258,183,9,6,6,0,0,18,0,0.009828009828009828,45.22222222222222,15.07593946052066,86,57,24,17,8,7.0
728,103,56,5,0,0,0,0,7,0,0.006329113924050633,31.6,14.527215837867903,36,23,8,1,2,4.0
2345,305,173,16,6,6,0,0,27,0,0.006787330316742082,27.625,14.443315928137832,116,66,37,12,20,8.0
2509,301,223,28,17,17,4,4,27,0,0.008948545861297539,15.964285714285714,10.33538354688516,121,62,33,17,8,10.0
2464,321,206,31,23,23,4,0,24,0,0.008547008547008548,15.096774193548388,6.356885211656156,114,64,35,8,18,11.0
2383,305,187,27,14,14,0,0,13,0,0.002173913043478261,17.037037037037038,7.8291075196464,97,51,39,14,15,9.0
1627,191,138,18,22,22,4,2,26,0,0.013605442176870748,16.333333333333332,9.249624617007738,70,34,27,10,4,10.0
2472,314,203,35,14,14,1,0,20,0,0.008695652173913044,13.142857142857142,5.865847190756518,116,61,36,24,11,10.0
1333,179,119,21,10,10,3,1,18,0,0.01652892561983471,11.523809523809524,5.811475082144419,63,44,15,10,16,7.0
2615,320,202,29,12,12,2,0,18,0,0.008421052631578947,16.379310344827587,7.712121194423698,85,90,33,13,14,11.0
1290,158,114,14,7,7,1,1,14,0,0.01639344262295082,17.428571428571427,9.3328474120349,63,34,21,8,4,8.0
3398,395,252,33,13,13,0,0,21,0,0.006872852233676976,17.636363636363637,6.285231279070401,161,67,55,14,17,11.0
2161,274,170,22,15,15,3,0,17,0,0.009195402298850575,19.772727272727273,9.671569479580196,85,57,33,14,5,10.0
1794,212,165,19,16,16,3,0,16,0,0.01282051282051282,16.42105263157895,5.7520320388691575,91,37,27,12,2,8.0
1443,181,135,18,5,5,0,0,5,0,0.021739130434782608,15.333333333333334,5.676462121975468,64,35,21,4,13,7.0
1703,205,152,20,11,11,0,0,19,0,0.012987012987012988,15.4,8.697125962063561,71,35,26,25,5,8.0
2251,288,172,22,19,19,0,0,15,0,0.002320185614849188,19.59090909090909,11.554845858336552,79,73,41,30,7,10.0
2844,348,237,32,18,18,3,9,37,0,0.01125703564727955,16.65625,9.869806783189832,127,64,42,34,10,12.0
2108,270,146,28,2,2,0,0,4,0,0.010282776349614395,13.892857142857142,6.235493368693484,90,65,22,14,5,8.0
1689,209,144,24,7,7,2,0,23,0,0.00974025974025974,12.833333333333334,6.593346814950828,69,52,30,9,8,8.0
843,110,71,13,4,4,0,0,3,0,0.006097560975609756,12.615384615384615,7.195494974565272,36,23,11,3,3,7.0
833,113,85,10,2,2,0,1,6,0,0.023668639053254437,16.9,8.676981041814024,37,22,7,6,2,6.0
1818,228,126,13,8,8,0,0,18,0,0.011235955056179775,27.384615384615383,14.953972775658912,80,45,25,16,10,7.0
3002,372,274,36,18,18,4,0,36,0,0.005366726296958855,15.527777777777779,6.816997184778938,125,70,54,27,9,10.0
2345,278,221,20,25,25,3,5,30,0,0.009685230024213076,20.65,9.645076464186275,97,58,34,14,4,10.0
2267,284,190,20,13,13,0,0,17,0,0.009501187648456057,21.05,8.56431550096095,104,61,29,20,9,8.0
1917,232,172,20,18,18,0,1,16,0,0.011834319526627219,16.9,10.676609948855488,90,38,28,19,11,8.0
836,107,81,8,1,1,0,0,13,0,0.025477707006369428,19.625,7.279036680770334,39,26,9,8,4,6.0
1591,201,135,21,4,4,3,0,16,0,0.014035087719298246,13.571428571428571,5.48219132908616,90,31,18,16,8,8.0
2590,338,171,32,5,5,0,0,15,0,0.008281573498964804,15.09375,11.44650431081472,123,80,22,18,14,8.0
1962,251,184,19,20,20,3,6,20,0,0.010526315789473684,20.0,11.548524626662559,95,51,24,10,8,8.0
3889,460,253,37,15,15,0,2,30,0,0.004291845493562232,18.89189189189189,11.30602275226789,184,91,62,26,33,9.0
2398,284,162,13,1,1,2,0,16,0,0.009280742459396751,33.15384615384615,16.195185200195734,98,74,30,27,12,8.0
1978,252,148,29,6,6,4,1,11,0,0.0026455026455026454,13.03448275862069,6.599282921446007,82,59,29,15,17,8.0
1745,201,131,16,8,8,0,1,10,0,0.0033112582781456954,18.875,11.439378261076953,73,40,13,15,19,8.0
1774,227,105,14,7,7,0,0,14,0,0.012345679012345678,23.142857142857142,10.280752771612612,82,59,17,13,14,8.0
1712,216,153,16,12,12,0,1,18,0,0.012269938650306749,20.375,7.833222516946649,78,43,21,17,2,8.0
2820,331,219,25,26,26,0,0,26,0,0.008333333333333333,19.2,10.392304845413266,113,53,58,27,15,12.0
2451,314,191,32,12,12,0,1,17,0,0.00909090909090909,13.75,5.55090082779363,108,64,31,16,14,10.0
2040,252,182,23,31,31,0,6,35,0,0.010362694300518135,16.782608695652176,8.546326552533145,100,49,34,11,15,9.0
1783,240,132,23,6,6,1,0,13,0,0.011695906432748537,14.869565217391305,5.534903854677993,72,56,26,17,7,8.0
1776,225,146,25,10,10,0,0,13,0,0.011904761904761904,13.44,5.741637397119397,62,56,21,19,8,7.0
873,115,83,14,3,3,0,0,4,0,0.023255813953488372,12.285714285714286,4.3985155195259,34,27,16,5,4,6.0
1264,171,118,10,6,6,0,0,12,0,0.015873015873015872,25.2,11.591376104673682,63,35,12,12,8,8.0
3234,382,233,32,19,19,0,2,29,0,0.0070921985815602835,17.625,7.473912964438374,150,67,42,10,17,12.0
1162,152,91,20,5,5,0,0,11,0,0.013761467889908258,10.9,3.3000000000000003,49,31,29,3,7,6.0
1370,174,125,16,16,16,2,2,19,0,0.016,15.625,10.367467144871982,59,36,23,7,12,8.0
1128,140,98,11,10,10,0,0,9,0,0.018779342723004695,19.363636363636363,11.07226450742187,40,31,16,15,6,6.0
1638,214,140,11,1,1,0,0,10,0,0.012048192771084338,30.181818181818183,16.157284773119194,60,50,22,17,6,7.0
2706,343,191,29,8,8,0,0,14,0,0.00796812749003984,17.310344827586206,8.960077925599647,127,72,32,19,17,9.0
2430,299,199,31,29,29,2,6,39,0,0.009237875288683603,13.96774193548387,7.1953563473716,103,69,40,13,19,9.0
2462,295,183,24,27,27,1,0,20,0,0.0041753653444676405,19.958333333333332,8.743946318580772,102,57,46,16,14,10.0
2386,299,193,21,23,23,2,0,26,0,0.009216589861751152,20.666666666666668,5.9388417448052335,110,67,40,15,13,9.0
2856,341,235,36,39,39,1,9,43,0,0.0039603960396039604,14.027777777777779,5.540187076219193,137,70,43,19,10,11.0
1601,200,128,11,15,15,1,0,17,0,0.012944983818770227,28.09090909090909,17.829773594924895,71,49,7,16,11,8.0
2100,257,176,31,9,9,0,0,12,0,0.02278481012658228,12.741935483870968,4.4284107827022785,90,42,48,15,18,9.0
2820,378,234,43,21,21,1,3,28,0,0.007246376811594203,12.837209302325581,6.375571958138488,142,67,36,23,13,8.0
2786,328,215,29,19,19,1,8,27,0,0.008213552361396304,16.79310344827586,7.452744508799183,120,70,36,21,14,11.0
1590,185,139,25,12,12,1,0,18,0,0.013986013986013986,11.44,5.337265217318698,75,41,23,4,3,8.0
2570,319,224,35,7,7,0,1,19,0,0.0064516129032258064,13.285714285714286,5.1523721503313595,115,68,26,29,9,11.0
1725,213,149,12,2,2,0,0,17,0,0.002881844380403458,28.916666666666668,12.479705747955581,60,48,35,13,4,7.0
3191,413,283,31,23,23,0,0,34,0,0.006493506493506494,19.870967741935484,9.839820138284953,134,79,52,38,10,11.0
2187,266,183,24,17,17,0,0,23,0,0.010282776349614395,16.208333333333332,6.732874365545686,88,44,44,23,12,8.0
1832,232,147,25,11,11,1,2,19,0,0.005988023952095809,13.36,5.4102125651401165,71,46,36,14,13,8.0
